Časová značka,Tweet link,Mainnet address to be rewarded,,Real/Bot,Reason,Last 7 tweets
4/12/2023 2:06:31,https://twitter.com/anhan20498395/status/1645941116313931776,0x0062d46feeafe820701054f65b321bffeca4b2c6d4c04816ce62527a400e95f2,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 25 april, Lamina1 15 april, Secured Finance 21 march, own tweet chinese proverb, secured finance 11 april, protocol labs 6 april"
4/12/2023 2:20:45,https://twitter.com/hungdun30769420/status/1645944687398887426,0x06b88ee2a8bcbe6183fbc80a49cad335bb5423eefaf92dd691aefd7f9266452e,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 25 april, Lamina1 15 april, Secured Finance 21 march, own tweet chinese proverb, secured finance 11 april, protocol labs 6 april"
4/12/2023 2:33:53,https://twitter.com/thanhda37942063/status/1645947972268720133,0x05fcabb85a2e27e53e358543058d8357a84c6504755c363fffe3e9353165f0d3,,Bot,"Almost same tweets as #21, just a few missing, same style bio/profile pic as #2","Secured Finance 21 march, own tweet chinese proverb, secured finance 11 april, protocol labs 6, Suiswap 17 march, Filecoin Foundation 14 march."
4/12/2023 2:55:12,https://twitter.com/hoangna18411743/status/1645953411777699840,0x07074070cb0bed1539b31ecda689593501c03f95b5d7b0999f213d730a68bc4c,,Bot,"Exact same tweets as #27, same style bio/profile pic","Secured Finance 21 march, own tweet chinese proverb, secured finance 11 april, protocol labs 6, Suiswap 17 march, Filecoin Foundation 14 march."
4/12/2023 3:08:05,https://twitter.com/VANPHAN90134213/status/1645956299610529792,0x072088fc81f3f9a0157167c771b3e77bfb31404640de850ed774866e31c6fe8b,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/12/2023 3:18:37,https://twitter.com/THOCHU19/status/1645959398127472640,0x03a825b180f1645d40173a24a3a9e1fa6777266955c74c4da9daedebf7769f50,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/12/2023 3:31:56,https://twitter.com/travinh09884710/status/1645962585479716864,0x02ad1ed2b2eca08738d074f8e73d95d3777fa9a5279699858b529d948fbb83d0,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/12/2023 7:18:16,https://twitter.com/hoangla74073772/status/1646019794280517633,0x04f17762b5f06ef2897be7bcc86e6903ab2b845ba9f9231835b7a346dbda2e91,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/13/2023 1:23:19,https://twitter.com/tranvanlan12/status/1646292816107311105,0x002ebc8f375ff62c3f5a8c9b29d4104330f07a3f49b1c0000757ae063c03b349,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/13/2023 1:31:30,https://twitter.com/doanvantrung16/status/1646294526674493444,0x03692904f521dc2c5368d8e19d095a488cb2ea7d36e6552bff18c2962957bb06,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/13/2023 10:47:31,https://twitter.com/barnaclebarny/status/1646434690033672192,0x04C21bf1c7F6ddD993dafa17C7F8afEA77aD6E8bBF0A0C4aD079f7D83dD9bB64,,Real,Original tweets,"Open Campus 28 april, own tweet themis 28 april, Themis 25 april, Cantonamespace 26 april, Venom 26 april, Mantleswap 14 april, Mantleswap 5 march."
4/14/2023 8:43:37,https://twitter.com/trantha53456532/status/1646765934332510208,0x06ef306872f783e63e5060d514bad24f7cbe786ab51fdb1d6bb63e60ac7fecd5,,Bot ,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 8:51:51,https://twitter.com/condao9/status/1646767968678989826,0x019d21c45b317433986a8f33c2487aee26d8cc31511cbf566312c670dee87519,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:02:54,https://twitter.com/phanvantrang8/status/1646770793005858816,0x0263bb74873e5715817ff3d3bed734b2f75ff253825cb676d12be6622ea58d40,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:12:08,https://twitter.com/tranthi33401647/status/1646773140805271552,0x009cf1a4b4aab014db6012a517d30339d4d14919b97dc053c70658c76ee6af21,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:20:14,https://twitter.com/tranthi66939022/status/1646775183527780352,0x00b562b156823752c2e119dceeeeb068d813bddb1067eb5c38315627477a3dbd,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:27:32,https://twitter.com/hoanam57941986/status/1646776969806372864,0x01879516530bad2151eaa6bb56b5c5b756b0bd184fe6764c6a3ee40d4dd7ee9c,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:42:45,https://twitter.com/thanhna65673794/status/1646780712920686592,0x0322bde671aa6d35276e1aec8e8132a03a39d0b1370d4b9834645776e0b9d22a,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:50:44,https://twitter.com/THANHHA82442172/status/1646782784441290752,0x060da5290e4e806326c48eff20f8a6e11da8d84b3cd108aa8125942875437df4,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 9:58:57,https://twitter.com/lehoa99730042/status/1646784791889731584,0x04f5673a2586e2b139a616f7c80778ce3adc9ec68aede8b34f3f74999e97e84e,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 10:09:29,https://twitter.com/thanhvu25329891/status/1646787449606250496,0x01db903225f17d098d172d5d9ca07339524e7936f713ae285a85cd4deb266993,,Bot,"Exact same tweets as #21, same style bio/profile pic as #2","Lamina1 13 march, Lamina1 15 april, Lamina1 25 april, Secured finance 21 march, own tweet chinese proverb 26 april, secured finance 11 april, protocol lab 6 april"
4/14/2023 10:19:04,https://twitter.com/thanhtu13088881/status/1646789971376996352,0x07ff38a2632f492a556c7b2a3cf7da60bf7003208df5442e2184313facb5ac38,,Bot,#,#
4/14/2023 10:28:27,https://twitter.com/trungti21839093/status/1646792248196231170,0x0765f0b94b4f7756bf1a724b3dcb2e92329afea40f84f7223f704395f84f535a,,Bot,#,#
4/14/2023 10:42:41,https://twitter.com/tranmin66692622/status/1646795907034394624,0x03f09e5f67f693bf6143f98311dcf26aebe2681a3703fe26d5ba88b9f188a900,,Bot ,#,#
4/14/2023 10:52:58,https://twitter.com/dotrung73602128/status/1646798492642459648,0x04afad2860f9537e65e9c9ce02809612c5127b28d1f8c6b860b41f24b6cabbcb,,Bot,#,#
4/14/2023 11:01:12,https://twitter.com/tranhie48803793/status/1646800450031845379,0x016d8660a90fc9bc8f583b38572721b2a9477aa6d586de285ab57211dff6fdb3,,Bot,#,#
4/14/2023 11:18:52,https://twitter.com/hatien87144199/status/1646804962935209984,0x06e3b86d7c5c9337203a632f8958a4c1be8d9cbdb43c04cb6559e257def52456,,Bot,#,#
4/14/2023 11:26:59,https://twitter.com/tranhoa25784921/status/1646806969288908801,0x0298a309c995144d118789f29e73346cddce35a1b00f6f795617119030719c85,,Bot,#,#
4/14/2023 11:40:36,https://twitter.com/namhung66305472/status/1646810392214249474,0x01c2b5e1db08d5efea5829a156a85a2b632cd075a480892a17a34448f3008feb,,Bot ,#,#
4/14/2023 11:51:59,https://twitter.com/tranhai86561884/status/1646813335290269698,0x00d1831206afaa29b6919f25e9a942b5fff06a95b863083461b53802fe3e02b2,,Bot,#,#
4/14/2023 12:05:01,https://twitter.com/lehoa51570269/status/1646816431814877185,0x04fcc18f8e8d87948a2490cf9cceb9b1efd90aacaa9bc9f49dd8a2f221808b0a,,Bot,#,#
4/14/2023 13:20:37,https://twitter.com/hainam55756875/status/1646835565567025153,0x0763bc741ccafd34e8f645f34abaebfd338b37f9d9caaf6d3492311c5cfe5477,,Bot,#,#
4/14/2023 13:35:41,https://twitter.com/tiennam90021516/status/1646839480429735937,0x0238ec2ba6e200a2040b3d7873424f55c684ceee9aeb4466bdcf2bf167896d9e,,Bot ,#,#
4/14/2023 13:43:22,https://twitter.com/kiennhan9/status/1646841364402040832,0x00366a44f7cc0914e3f2c515a60282f0d6a043bd3a85fc190e5847284a5f314e,,Bot,#,#
4/14/2023 13:51:19,https://twitter.com/thanhng71789382/status/1646843444718080000,0x040a386ff273ad78692626afa689abed5e3ab9a9495d591fef1c263d638ff589,,Bot,#,#
4/14/2023 14:00:17,https://twitter.com/lenghia77025118/status/1646845691745161216,0x0370da92b4693e6cdf3b995272272a5ed34bafea1e7e0bbd7e338f0df5af6c88,,Bot,#,#
4/14/2023 14:09:02,https://twitter.com/tranda62964007/status/1646847775915790336,0x0091d1a6690a42d3333aff49c9935bf8dad11f38f81da0cbb1915d9978d5b13f,,Bot,#,#
4/14/2023 14:20:36,https://twitter.com/kiengia27890109/status/1646850618047467524,0x0547d58381dbdb833a61dce76c8aff4187df673b9273288013884bf078cc9ba2,,Bot,#,#
4/14/2023 14:32:25,https://twitter.com/dotam37475759/status/1646853623148867584,0x0096c1203291e2a2a08fe46d473a55f05fe2900adaf14e8ec834fe685d0dea6b,,Bot,#,#
4/14/2023 14:41:28,https://twitter.com/letoan18461053/status/1646855984663638016,0x0278f504dc9c6b7c632577471362c71dbd45938117f9c70d63656d2204a8a12f,,Bot,#,#
4/14/2023 14:50:24,https://twitter.com/letrung95018963/status/1646858152602918913,0x0536c4f08ff5f88992e16a87e08f77bca06b149354892bddc97dbbb28239c867,,Bot,#,#
4/14/2023 15:00:52,https://twitter.com/doannam76952863/status/1646860884621533185,0x007203d9efd70c1632911d94d997d399fe2ff31b812afc451314bab03d2969ae,,Bot,#,#
4/14/2023 15:26:59,https://twitter.com/dangha48888299/status/1646867478528794624,0x05c02f09977651c9b211c79ddacdce46b1ffc24df0a7a74a90c6858d9f12124a,,Bot,#,#
4/14/2023 15:35:20,https://twitter.com/namtien90281448/status/1646869573264900097,0x0019f43b716a011d5f8990a5cfdc155f0a3a2e2e85bab6ea829fd450cb4b6198,,Bot,#,#
